lat,lon
-11.850000000011315,-76.66694444444745
-11.850000001203998,-76.62680555582733
-11.85004629686499,-76.69393518525115
-11.850104167253077,-76.63315972238406
-11.850138889168182,-76.73847222226225
-11.85027777789134,-76.7162500000274
-11.850138889167493,-76.69791666670463
-11.850347222460945,-76.67291666656105
-11.850250000244076,-76.6629999999367
-11.850277777789094,-76.63472222222516
-11.85027777778908,-76.62361111111403
-11.850388889149736,-76.73405555551551
-11.850347222134394,-76.70840277767319
-11.8506944444897,-76.666250000012
-11.850694444387464,-76.65722222221068
-11.850555555839502,-76.6225000000642
-11.850833333344632,-76.73472222222534
-11.850833333344662,-76.66361111111411
-11.850763889019385,-76.63527777782348
-11.85111111112243,-76.72583333333644
-11.851111111224688,-76.72486111113864
-11.85111111139509,-76.66305555562136
-11.851388888718086,-76.65666666663095
-11.851388888900171,-76.66361111111411
-11.85185185188242,-76.70981481477513
-11.851944444728414,-76.66500000006589
-11.852222222335794,-76.66569444447104
-11.852222222233534,-76.63583333333628
-11.851722221823644,-76.66998611175421
-11.852708333245305,-76.69298611100658
-11.85250000082935,-76.66722222241417
-11.852916667120954,-76.66875000010657
-11.85139550183982,-76.72722222115858
-11.85341666657044,-76.669805555719
-11.853333333344654,-76.65666666666965
-11.853749999942973,-76.72749999998797
-11.853611111122444,-76.65638888889188
-11.854166666677981,-76.63777777778073
-11.854166666677985,-76.6316666666696
-11.85347685276027,-76.67414814901262
-11.854861111054097,-76.72777777776574
-11.855416666500968,-76.67861111128056
-11.855000000011312,-76.66944444444745
-11.855277777789087,-76.62583333333626
-11.855277777789086,-76.62500000000291
-11.855277777789098,-76.62305555555848
-11.85566666683022,-76.6750555555651
-11.85555555556689,-76.65527777778077
-11.855763889034018,-76.62451388904151
-11.855833333344652,-76.63833333333628
-11.856111111011325,-76.68034722221856
-11.856388888900193,-76.63972222222517
-11.856388888900202,-76.6238888888918
-11.856666666677985,-76.62250000000292
-11.856877103840773,-76.67346801548678
-11.856851851568292,-76.62310185219293
-11.856944444455758,-76.64166666666962
-11.857222222233554,-76.6419444444474
-11.857500000011319,-76.70611111111418
-11.855622606552176,-76.63979884699926
-11.857148147593096,-76.61727777782532
-11.857777777789094,-76.67166666666968
-11.857777777891393,-76.64180555558177
-11.857777777789101,-76.63777777778073
-11.85791666660965,-76.62194444443315
-11.85819444438742,-76.6166666666554
-11.858055555566867,-76.60861111111402
-11.858333333344646,-76.6891666666697
-11.858333333344648,-76.68694444444748
-11.85850000013733,-76.64005555563782
-11.85833333326514,-76.63819444431216
-11.85888888900251,-76.63875000002616
-11.858858024785578,-76.6209567904001
-11.85916666667798,-76.68861111111414
-11.859444444455752,-76.63888888889184
-11.859861111054075,-76.67249999998835
-11.860138888996909,-76.68499999994063
-11.860694444387397,-76.70249999998815
-11.860740740770902,-76.64898148144124
-11.860833333446964,-76.64208333335954
-11.861111111122423,-76.67222222222523
-11.859962460495927,-76.61730480398333
-11.861203703710828,-76.68453703710578
-11.85537095525713,-76.63398746872625
-11.861944444455759,-76.69027777778082
-11.862277777705996,-76.68469444492645
-11.861944444455776,-76.63888888889184
-11.862222222233543,-76.69138888889194
-11.862222222335879,-76.69069444447143
-11.862500000011313,-76.69111111111414
-11.863055555566882,-76.69000000000302
-11.863611111122433,-76.6891666666697
-11.864166666678003,-76.68750000000304
-11.864444444344592,-76.68048611110746
-11.86336419573523,-76.67904321096754
-11.865061728000374,-76.60012345665398
-11.86500000011369,-76.68763888891583
-11.86522222214481,-76.6816666667927
-11.865000000011337,-76.665000000003
-11.866967592431328,-76.69141203768605
-11.866388888900222,-76.64527777778073
-11.866296296326192,-76.6128703703298
-11.866944444455779,-76.62055555555847
-11.866759258964432,-76.61918981475614
-11.86768518519231,-76.68712962969843
-11.867638888934184,-76.68291666667878
-11.86777777778911,-76.68055555555857
-11.867777777891469,-76.61236111113685
-11.867777777891492,-76.60930555558124
-11.864594359795305,-76.62044752690743
-11.867694444540792,-76.62356944489052
-11.86545688835846,-76.68621236591811
-11.868015872947087,-76.64496031718343
-11.868055555566894,-76.62611111111403
-11.86855555547245,-76.6903888889495
-11.86833333334466,-76.62583333333626
-11.868333333447044,-76.62097222224808
-11.86935185185958,-76.60379629636438
-11.869444444455766,-76.60277777778066
-11.869722222233555,-76.6983333333364
-11.86972222223356,-76.69000000000302
-11.870000000011323,-76.60444444444734
-11.869761904576398,-76.69170634971988
-11.869876543009878,-76.68231481525649
-11.870479797315816,-76.67500000042901
-11.864572984632765,-76.64327150232135
-11.870555555566863,-76.71777777778087
-11.871180555713511,-76.62055555576276
-11.87111111112244,-76.64527777778073
-11.870743587675364,-76.61812820268501
-11.872361111054014,-76.68027777776608
-11.872407407414958,-76.62712962969793
-11.872638888940676,-76.62861111126075
-11.872962962679804,-76.60587962997099
-11.872916666888754,-76.6518055556879
-11.873148148155208,-76.69648148155038
-11.87305555556689,-76.62444444444738
-11.873055555566893,-76.62305555555848
-11.87347222216513,-76.68861111109935
-11.873472222165134,-76.61972222221094
-11.873611111122454,-76.6163888888918
-11.873611111122456,-76.60833333333623
-11.874166666552037,-76.64958333347988
-11.873585859038185,-76.62863636321357
-11.874166666597974,-76.61708333332136
-11.874305555498452,-76.64499999998856
-11.874444444455788,-76.62444444444738
-11.874181285233044,-76.69460526383325
-11.86241655865485,-76.60695529648548
-11.875277778044026,-76.70194444416215
-11.87569444489956,-76.69208333344139
-11.875972222165112,-76.69305555554378
-11.876111111122432,-76.64916666666963
-11.876666666678004,-76.64666666666963
-11.876666666677988,-76.61694444444734
-11.873994465449814,-76.69853476166892
-11.872502302085705,-76.6476030054745
-11.876617284055845,-76.60874074285505
-11.875922617864353,-76.64575396733238
-11.876944444455773,-76.61666666666957
-11.876944444455782,-76.60638888889177
-11.877478068466514,-76.62078947347027
-11.877222222233566,-76.61305555555846
-11.877500000113786,-76.60652777780341
-11.877777777789122,-76.68138888889192
-11.876388886907442,-76.61564444791534
-11.878055555566888,-76.70000000000307
-11.87874999994287,-76.71249999998808
-11.878611111122426,-76.64638888889185
-11.878888888900203,-76.64861111111406
-11.877858795274674,-76.64960648041586
-11.879305555498439,-76.65083333332184
-11.879444444455778,-76.64722222222518
-11.879861111053971,-76.65055555554406
-11.87972222223357,-76.64611111111407
-11.879675925247048,-76.6213657401435
-11.880000000011329,-76.6188888888918
-11.880277777789098,-76.64666666666962
-11.881388888900231,-76.65055555555853
-11.881481481489066,-76.62203703710534
-11.881666666780488,-76.62375000002591
-11.882222222233583,-76.69611111111416
-11.8821296296596,-76.62231481477424
-11.88277777778912,-76.60916666666955
-11.882916666609523,-76.6074999999888
-11.883055555566889,-76.70861111111418
-11.883055555566903,-76.62416666666958
-11.882139476740141,-76.65136524595952
-11.883333333361428,-76.60847222228406
-11.883611111122452,-76.70666666666975
-11.883611111122455,-76.70611111111417
-11.883134919992992,-76.6058829378717
-11.883888888900222,-76.71166666666976
-11.883888888900218,-76.70638888889196
-11.884285714167655,-76.60674603159421
-11.88444444445578,-76.65138888889186
-11.884722222233565,-76.71138888889196
-11.884722222336096,-76.61013888891458
-11.885416666609508,-76.65166666665516
-11.885208334079271,-76.60819444464879
-11.885256410617057,-76.60573717932684
-11.886111111122453,-76.65194444444741
-11.886388888900242,-76.60694444444734
-11.886666666677998,-76.71083333333641
-11.886701389026884,-76.60774305575367
-11.886666666677998,-76.60444444444734
-11.886944444455795,-76.60694444444735
-11.887361111053949,-76.60861111109992
-11.887500000011366,-76.60500000000289
-11.888055555566885,-76.64694444444741
-11.888148148178038,-76.60546296292222
